id_municipio,nome,id_microrregiao
170720,Dois Irmãos do Tocantins,17003
171870,Rio dos Bois,17003
170930,Guaraí,17003
171110,Itaporã do Tocantins,17003
171840,Presidente Kennedy,17003
170600,Couto Magalhães,17003
170830,Goianorte,17003
171670,Colméia,17003
170825,Fortaleza do Tabocão,17003
171665,Pequizeiro,17003
172125,Tupirama,17003
170320,Bernardo Sayão,17003
170360,Brasilândia do Tocantins,17003
172130,Tupiratins,17003
171180,Juarina,17003
170755,Fátima,17004
171550,Oliveira de Fátima,17004
170460,Chapada de Areia,17004
171190,Lagoa da Confusão,17004
171500,Nova Rosalândia,17004
171750,Pium,17004
170610,Cristalândia,17004
171610,Paraíso do Tocantins,17004
171845,Pugmil,17004
170200,Araguaçu,17004
170730,Dueré,17004
170820,Formoso do Araguaia,17004
171884,Sandolândia,17004
170370,Brejinho de Nazaré,17005
171889,Santa Rita do Tocantins,17005
170950,Gurupi,17005
171575,Palmeirópolis,17005
170035,Aliança do Tocantins,17005
170625,Crixás do Tocantins,17005
170765,Figueirópolis,17005
172085,Sucupira,17005
172025,São Salvador do Tocantins,17005
170070,Alvorada,17005
170386,Cariri do Tocantins,17005
171660,Peixe,17005
172097,Talismã,17005
171150,Jaú do Tocantins,17005
171200,Lajeado,17006
170110,Aparecida do Rio Negro,17006
172100,Palmas,17006
172065,Silvanópolis,17006
171820,Porto Nacional,17006
171360,Monte do Carmo,17006
170980,Ipueiras,17006
172110,Tocantínia,17006
171888,Santa Maria do Tocantins,17006
171650,Pedro Afonso,17006
170330,Bom Jesus do Tocantins,17006
171270,Mateiros,17007
172015,São Félix do Tocantins,17007
171510,Novo Acordo,17007
171875,Rio Sono,17007
171900,Santa Tereza do Tocantins,17007
171195,Lagoa do Tocantins,17007
171240,Lizarda,17007
171790,Ponte Alta do Tocantins,17007
170384,Campos Lindos,17007
170900,Goiatins,17007
170307,Barra do Ouro,17007
171850,Recursolândia,17007
170410,Centenário,17007
171050,Itacajá,17007
171090,Itapiratins,17007
170510,Chapada da Natividade,17008
171890,Santa Rosa do Tocantins,17008
171700,Pindorama do Tocantins,17008
171420,Natividade,17008
171620,Paranã,17008
172049,São Valério,17008
170555,Combinado,17008
172093,Taipas do Tocantins,17008
170700,Dianópolis,17008
171525,Novo Jardim,17008
171515,Novo Alegre,17008
170240,Arraias,17008
172090,Taguatinga,17008
170040,Almas,17008
171800,Porto Alegre do Tocantins,17008
171215,Lavandeira,17008
170560,Conceição do Tocantins,17008
171865,Rio da Conceição,17008
171780,Ponte Alta do Bom Jesus,17008
170270,Aurora do Tocantins,17008
210020,Alcântara,21001
210135,Bacurituba,21001
210190,Bequimão,21001
210240,Cajapió,21001
210905,Porto Rico do Maranhão,21001
210312,Central do Maranhão,21001
210680,Mirinzal,21001
210310,Cedral,21001
210490,Guimarães,21001
210370,Cururupu,21001
211178,Serrano do Maranhão,21001
210130,Bacuri,21001
210083,Apicum-Açu,21001
211120,São José de Ribamar,21002
210750,Paço do Lumiar,21002
211130,São Luís,21002
210945,Raposa,21002
210710,Morros,21003
210237,Cachoeira Grande,21003
210960,Rosário,21003
210920,Presidente Juscelino,21003
210510,Icatu,21003
210125,Bacabeira,21003
211020,Santa Rita,21003
210110,Axixá,21003
211027,Santo Amaro do Maranhão,21004
210940,Primeira Cruz,21004
210500,Humberto de Campos,21004
210170,Barreirinhas,21004
210805,Paulino Neves,21004
211250,Tutóia,21004
210860,Pinheiro,21005
210927,Presidente Sarney,21005
210980,Santa Helena,21005
210760,Palmeirândia,21005
210825,Pedro do Rosário,21005
210840,Peri Mirim,21005
211050,São Bento,21005
210070,Anajatuba,21005
210100,Arari,21005
211170,São Vicente Ferrer,21005
211280,Viana,21005
210250,Cajari,21005
211100,São João Batista,21005
211290,Vitória do Mearim,21005
210745,Olinda Nova do Maranhão,21005
210650,Matinha,21005
210830,Penalva,21005
210515,Igarapé do Meio,21005
210177,Bela Vista do Maranhão,21005
210690,Monção,21005
210355,Conceição do Lago-Açu,21005
210540,Itapecuru Mirim,21006
210675,Miranda do Norte,21006
210930,Presidente Vargas,21006
210880,Pirapemas,21006
210270,Cantanhede,21006
210720,Nina Rodrigues,21006
210663,Matões do Norte,21006
211270,Vargem Grande,21006
211240,Turiaçu,21007
211245,Turilândia,21007
210197,Boa Vista do Gurupi,21007
210620,Luís Domingues,21007
210290,Carutapera,21007
210467,Governador Nunes Freire,21007
210315,Centro do Guilherme,21007
210632,Maracaçumé,21007
210637,Maranhãozinho,21007
210317,Centro Novo do Maranhão,21007
210565,Junco do Maranhão,21007
210430,Godofredo Viana,21007
